Cod_Concessionaria,Cod_Filial,Nome_da_Concessionaria,Nome_da_Filial,Marca_da_Filial,Valor_da_Peca_em_Estoque,Quantidade_da_Peca_em_Estoque,Descricao_da_Peca,Categoria_da_Peca,Data_de_Ultima_Venda_da_Peca,Data_da_Ultima_Entrada_no_Estoque_da_Peca,Peca_Esta_Obsoleta,Quanto_Tempo_a_Peca_Esta_Obsoleta,Nome_da_Marca_da_Peca,Codigo_da_Peca_no_Estoque
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,46.1,1,ETIQUETA,PECAS ORIGINAIS VW,2024-08-29,2024-08-28,False,0,VOLKSWAGEN,163-1-194753
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,114.68,8,LAMPADA H11 SUPER BRANCA,OUTRAS MERCADORIAS,2024-01-03,2019-08-24,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-192053
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,17.13,2,PARAFUSO,PECAS ORIGINAIS VW,2022-03-25,2022-03-18,True,2 ANOS A 3 ANOS,VOLKSWAGEN,163-1-36418
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,53.9,11,PORCA,PECAS ORIGINAIS VW,2024-04-23,2024-03-08,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-36388
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,863.26,2,CORREIA,PECAS ORIGINAIS VW,2024-08-08,2024-09-20,False,0,VOLKSWAGEN,163-1-166241
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,256.5,5,VEDACAO,PECAS ORIGINAIS VW,2024-09-25,2024-09-20,False,0,VOLKSWAGEN,163-1-79624
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,133.63,1,ANTENA,PECAS ORIGINAIS VW,2000-01-01,2019-04-08,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-85886
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,363.81,1,CORREIA,PECAS ORIGINAIS VW,2024-04-12,2024-04-09,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-166754
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,646.27,22,MANCALBORR,PECAS ORIGINAIS VW,2024-05-14,2024-06-06,False,0,VOLKSWAGEN,163-1-57579
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,19688.9,13,KIT ARREFECIMENTO,PECAS ORIGINAIS VW,2024-04-27,2024-08-01,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-159094
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,13.51,2,PARAFUSO,PECAS ORIGINAIS VW,2024-06-26,2022-05-06,False,0,VOLKSWAGEN,163-1-76477
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1170.04,13,ROLAMENTO,PECAS ORIGINAIS VW,2024-06-11,2024-06-19,False,0,VOLKSWAGEN,163-1-39297
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,8.61,6,ARRUELA,PECAS ORIGINAIS VW,2024-10-02,2020-12-23,False,0,VOLKSWAGEN,163-1-72950
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,15.02,6,PARAFUSO,PECAS ORIGINAIS VW,2024-02-21,2023-03-08,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-37873
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,11.02,9,BOTAO,PECAS ORIGINAIS VW,2022-08-25,2022-08-11,True,2 ANOS A 3 ANOS,VOLKSWAGEN,163-1-27801
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1074.8,56,PORTA OCULOS NEOPREME  AMAROK VW PRETO/VERMELHO,ACESSORIOS ORIGINAIS,2024-08-19,2020-11-26,False,0,VOLKSWAGEN,163-1-190444
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,2378.11,1,VOLANTE,PECAS ORIGINAIS VW,2024-07-22,2024-09-04,False,0,VOLKSWAGEN,163-1-203835
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,627.0,10,LIMITADOR,PECAS ORIGINAIS VW,2024-03-20,2024-04-25,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-196172
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,0.84,14,PARAFUSO,PECAS ORIGINAIS VW,2021-11-17,2019-06-29,True,2 ANOS A 3 ANOS,VOLKSWAGEN,163-1-52483
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,649.15,1,LANTERNA,PECAS ORIGINAIS VW,2024-02-08,2024-02-09,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-6907
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,18.12,1,INTERRUPTO,PECAS ORIGINAIS VW,2024-02-21,2019-06-29,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-62557
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1400.45,8,CUBO RODA,PECAS ORIGINAIS VW,2021-06-29,2022-06-13,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-8150
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,45.93,1,CHINELO GRAPHIC VINTAGE SP1 AMARELO/PRETO 37/38,PECAS ORIGINAIS VW,2000-01-01,2021-06-10,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-198012
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,356.71,1,COBERTURA,PECAS ORIGINAIS VW,2000-01-01,2022-02-08,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-191385
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,4232.35,7,SENSOR,PECAS ORIGINAIS VW,2024-08-19,2022-04-06,False,0,VOLKSWAGEN,163-1-181916
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,160.07,1,PALHETA,PECAS ORIGINAIS VW,2023-11-29,2023-07-04,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-184212
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,195.23,20,PARAFUSO,PECAS ORIGINAIS VW,2024-10-23,2024-08-09,False,0,VOLKSWAGEN,163-1-80274
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,43.54,1,VEDACAO,PECAS ORIGINAIS VW,2000-01-01,2019-06-29,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-14652
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,191.31,4,FLANGE,PECAS ORIGINAIS VW,2021-09-10,2021-09-10,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-119057
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1403.3,30,PROTECAO,PECAS ORIGINAIS VW,2024-08-22,2024-09-02,False,0,VOLKSWAGEN,163-1-16048
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,165.89,1,JG.PALHETA,PECAS ORIGINAIS VW,2000-01-01,2020-06-15,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-175560
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,3195.36,2,VENTILADOR,PECAS ORIGINAIS VW,2024-07-31,2024-08-22,False,0,VOLKSWAGEN,163-1-199346
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,37.18,2,LAMPADA,PECAS ORIGINAIS VW,2024-02-22,2022-08-19,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-43949
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,550.56,2,AUTORADIO,PECAS ORIGINAIS VW,2000-01-01,2024-05-28,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-172324
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,25.4,7,PARAFUSO,PECAS ORIGINAIS VW,2022-03-25,2020-05-22,True,2 ANOS A 3 ANOS,VOLKSWAGEN,163-1-113315
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,164.84,4,VEDACAO,PECAS ORIGINAIS VW,2024-08-05,2024-07-16,False,0,VOLKSWAGEN,163-1-178594
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,311.04,14,ADAPTADOR,PECAS ORIGINAIS VW,2024-10-28,2024-09-02,False,0,VOLKSWAGEN,163-1-34193
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,183.59,2,TIRA,PECAS ORIGINAIS VW,2000-01-01,2023-02-14,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-190478
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,148.26,13,ANEL VEDAC,PECAS ORIGINAIS VW,2024-10-28,2024-07-05,False,0,VOLKSWAGEN,163-1-180678
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,186.49,1,MANIVELA,PECAS ORIGINAIS VW,2024-06-12,2024-06-17,False,0,VOLKSWAGEN,163-1-191786
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,14.53,1,EMBLEMA,PECAS ORIGINAIS VW,2021-01-29,2021-01-25,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-194479
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,2726.25,4,SPOILER,PECAS ORIGINAIS VW,2024-06-11,2024-09-25,False,0,VOLKSWAGEN,163-1-198912
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,51.38,23,SUPORTE,PECAS ORIGINAIS VW,2019-09-04,2017-10-14,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-162858
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1062.02,4,PALHETA,PECAS ORIGINAIS VW,2023-10-18,2024-01-27,True,1 ANO A 2 ANOS,VOLKSWAGEN,163-1-151079
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,2582.18,4,COBERTURA,PECAS ORIGINAIS VW,2024-10-14,2024-08-13,False,0,VOLKSWAGEN,163-1-202703
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,136.51,2,RESERVAT.,PECAS ORIGINAIS VW,2022-10-17,2024-04-11,True,2 ANOS A 3 ANOS,VOLKSWAGEN,163-1-156522
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,287.8,7,VEDACAO,PECAS ORIGINAIS VW,2024-10-18,2023-11-17,False,0,VOLKSWAGEN,163-1-182833
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,280.65,3,VELA,PECAS ORIGINAIS VW,2021-03-16,2019-05-28,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-79752
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,327.17,2,ADORNO,PECAS ORIGINAIS VW,2022-02-24,2022-02-22,True,2 ANOS A 3 ANOS,VOLKSWAGEN,163-1-148883
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,296.45,4,TAMPA,PECAS ORIGINAIS VW,2024-08-05,2024-03-13,False,0,VOLKSWAGEN,163-1-42967
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,170.57,2,ESTRIBO,PECAS ORIGINAIS VW,2023-05-24,2016-03-16,True,1 ANO A 2 ANOS,VOLKSWAGEN,163-1-75446
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,809.09,2,FAROL,PECAS ORIGINAIS VW,2024-09-17,2024-07-01,False,0,VOLKSWAGEN,163-1-140456
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,254.37,2,VEDACAO,PECAS ORIGINAIS VW,2024-10-24,2024-09-02,False,0,VOLKSWAGEN,163-1-167570
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,137.34,12,BATENTE,PECAS ORIGINAIS VW,2024-08-19,2023-04-06,False,0,VOLKSWAGEN,163-1-57304
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,173.88,4,PARAFUSO,PECAS ORIGINAIS VW,2015-12-04,2020-12-28,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-79321
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,128.36,9,RETENCAO DA BARRA ESTAB,PECAS ORIGINAIS VW,2024-07-11,2021-11-18,False,0,VOLKSWAGEN,163-1-41330
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,29.32,1,VEDACAO,PECAS ORIGINAIS VW,2020-04-30,2023-11-06,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-155199
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,47369.03,2568,BUCHA BANDEIJA DIANTEIRA,PECAS ORIGINAIS VW,2024-10-25,2024-09-02,False,0,VOLKSWAGEN,163-1-13845
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,0.95,3,PARAFUSO,PECAS ORIGINAIS VW,2024-03-18,2023-06-13,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-44464
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,480.7,39,ODORIZADOR,OUTRAS MERCADORIAS,2024-10-24,2024-10-29,False,0,VOLKSWAGEN,163-1-51228
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1175.58,7,JG.PASTILHA,PECAS ORIGINAIS VW,2024-04-29,2022-06-30,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-154620
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,16.26,12,VEDACAO,PECAS ORIGINAIS VW,2023-12-29,2021-07-06,True,6 MESES A 1 ANO,VOLKSWAGEN,163-1-43909
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,41.54,1,CAPA COBER,PECAS ORIGINAIS VW,2017-05-25,2024-07-05,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-140192
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,151.43,1,TRILHO,PECAS ORIGINAIS VW,2019-05-31,2022-03-18,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-163571
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,286.62,1,REVESTIMEN,PECAS ORIGINAIS VW,2021-01-27,2024-10-24,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-158373
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,1155.89,2,FAROL,PECAS ORIGINAIS VW,2000-01-01,2024-07-03,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-182673
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,56.97,1,TRILHO,PECAS ORIGINAIS VW,2020-01-29,2023-07-07,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-33415
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,70.33,10,LAMPADA PINGAO LED,OUTRAS MERCADORIAS,2024-10-02,2024-03-04,False,0,VOLKSWAGEN,163-1-196283
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,12.36,1,VEDACAO,PECAS ORIGINAIS VW,2022-06-20,2021-09-14,True,2 ANOS A 3 ANOS,VOLKSWAGEN,163-1-58169
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,315.11,1,TAPETE,PECAS ORIGINAIS VW,2000-01-01,2024-09-30,True,MAIS DE 3 ANOS,VOLKSWAGEN,163-1-195762
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,145.2,24,BRACADEIRA,PECAS ORIGINAIS VW,2023-04-25,2023-04-06,True,1 ANO A 2 ANOS,VOLKSWAGEN,163-1-181649
0,0-1-3,CCM,CCM AUTOS 3,VOLKSWAGEN,42.15,2,TUBO,PECAS ORIGINAIS VW,2024-10-29,2024-09-25,False,0,VOLKSWAGEN,163-1-114038
